iter	Passed	Remaining
1168	44720	24139
1169	44758	24100
1170	44798	24063
1171	44839	24026
1172	44879	23989
1173	44917	23950
1174	44956	23912
1175	44993	23874
1176	45033	23836
1177	45068	23797
1178	45110	23760
1179	45150	23723
1180	45187	23684
1181	45225	23645
1182	45259	23605
1183	45302	23569
1184	45344	23532
1185	45386	23496
1186	45427	23459
1187	45470	23424
1188	45507	23385
1189	45545	23346
1190	45586	23309
1191	45649	23284
1192	45693	23248
1193	45732	23210
1194	45768	23171
1195	45808	23134
1196	45852	23098
1197	45887	23058
1198	45930	23022
1199	45969	22984
1200	46007	22946
1201	46047	22909
1202	46084	22869
1203	46126	22833
1204	46165	22795
1205	46204	22757
1206	46241	22718
1207	46277	22678
1208	46313	22639
1209	46353	22601
1210	46391	22563
1211	46426	22523
1212	46469	22487
1213	46511	22451
1214	46546	22411
1215	46582	22371
1216	46622	22334
1217	46663	22297
1218	46703	22260
1219	46743	22222
1220	46782	22184
1221	46822	22146
1222	46861	22108
1223	46898	22069
1224	46938	22032
1225	46977	21994
1226	47012	21954
1227	47052	21917
1228	47092	21879
1229	47133	21842
1230	47175	21805
1231	47213	21767
1232	47255	21730
1233	47295	21692
1234	47333	21654
1235	47370	21615
1236	47408	21577
1237	47447	21539
1238	47486	21501
1239	47523	21462
1240	47562	21424
1241	47598	21384
1242	47639	21347
1243	47678	21309
1244	47719	21272
1245	47758	21234
1246	47797	21196
1247	47839	21159
1248	47878	21121
1249	47919	21084
1250	47954	21044
1251	47995	21007
1252	48035	20969
1253	48071	20930
1254	48112	20893
1255	48148	20854
1256	48182	20814
1257	48226	20778
1258	48264	20739
1259	48301	20700
1260	48341	20662
1261	48380	20624
1262	48420	20587
1263	48457	20548
1264	48492	20508
1265	48532	20471
1266	48568	20431
1267	48603	20392
1268	48640	20353
1269	48676	20313
1270	48711	20273
1271	48750	20236
1272	48787	20197
1273	48825	20158
1274	48864	20120
1275	48904	20083
1276	48946	20046
1277	48984	20007
1278	49025	19970
1279	49065	19932
1280	49105	19895
1281	49147	19858
1282	49190	19821
1283	49231	19784
1284	49272	19747
1285	49309	19708
1286	49350	19671
1287	49391	19634
1288	49431	19596
1289	49471	19558
1290	49511	19520
1291	49550	19482
1292	49588	19444
1293	49628	19406
1294	49668	19368
1295	49701	19328
1296	49739	19289
1297	49785	19254
1298	49826	19217
1299	49865	19179
1300	49904	19140
1301	49942	19102
1302	49981	19064
1303	50017	19025
1304	50057	18987
1305	50097	18949
1306	50135	18911
1307	50174	18872
1308	50212	18834
1309	50253	18797
1310	50296	18760
1311	50337	18723
1312	50378	18685
1313	50419	18648
1314	50455	18609
1315	50491	18569
1316	50533	18532
1317	50576	18496
1318	50617	18458
1319	50656	18420
1320	50696	18382
1321	50732	18343
1322	50770	18305
1323	50806	18265
1324	50843	18226
1325	50878	18187
1326	50918	18149
1327	50954	18110
1328	50990	18071
1329	51029	18033
1330	51066	17994
1331	51106	17956
1332	51143	17917
1333	51180	17878
1334	51222	17841
1335	51260	17803
1336	51297	17764
1337	51336	17726
1338	51376	17688
1339	51416	17650
1340	51455	17612
1341	51499	17575
1342	51540	17538
1343	51577	17499
1344	51618	17462
1345	51660	17424
1346	51695	17385
1347	51733	17346
1348	51773	17308
1349	51808	17269
1350	51849	17232
1351	51887	17193
1352	51927	17155
1353	51966	17117
1354	52005	17079
1355	52045	17041
1356	52085	17003
1357	52124	16965
1358	52165	16927
1359	52203	16889
1360	52243	16851
1361	52284	16813
1362	52327	16777
1363	52369	16739
1364	52416	16704
1365	52456	16666
1366	52497	16628
1367	52536	16590
1368	52573	16551
1369	52613	16513
1370	52654	16476
1371	52698	16439
1372	52739	16401
1373	52777	16363
1374	52820	16326
1375	52854	16286
1376	52900	16250
1377	52940	16212
1378	52978	16174
1379	53023	16137
1380	53061	16098
1381	53105	16062
1382	53144	16024
1383	53189	15987
1384	53228	15949
1385	53269	15911
1386	53310	15873
1387	53349	15835
1388	53390	15798
1389	53432	15760
1390	53471	15722
1391	53510	15684
1392	53547	15645
1393	53583	15606
1394	53621	15567
1395	53660	15529
1396	53699	15491
1397	53736	15452
1398	53775	15413
1399	53813	15375
1400	53848	15335
1401	53881	15295
1402	53920	15257
1403	53960	15219
